Total Fossil Fuels Production,Total Renewable Energy Production,Total Fossil Fuels Consumption,Total Renewable Energy Consumption,Date
6.908116,0.753369,6.032301,0.735322,2022-05-01
6.740134,0.735657,6.227109,0.720296,2022-06-01
7.006849,0.723656,6.675256,0.702196,2022-07-01
7.122014,0.682908,6.708842,0.674905,2022-08-01
6.993891,0.64282,6.091475,0.628064,2022-09-01
7.18526,0.669622,6.109814,0.656953,2022-10-01
6.945541,0.695918,6.480746,0.67514,2022-11-01
6.923687,0.69085,7.243687,0.671565,2022-12-01
7.212914,0.699219,7.043884,0.680278,2023-01-01
6.506346,0.662356,6.316142,0.64568,2023-02-01
7.345754,0.738376,6.754053,0.722937,2023-03-01
6.999084,0.711502,5.876264,0.698472,2023-04-01
7.260731,0.743971,5.948411,0.739232,2023-05-01
7.033771,0.701163,6.139448,0.690843,2023-06-01
7.266749,0.718784,6.646121,0.700695,2023-07-01
7.399674,0.716526,6.782068,0.707663,2023-08-01
7.202332,0.675796,6.088257,0.658652,2023-09-01
7.393373,0.697,6.216431,0.687717,2023-10-01
7.247198,0.685076,6.526288,0.665096,2023-11-01
7.403374,0.723896,6.933061,0.695342,2023-12-01
7.125805,0.69187,7.646953,0.669378,2024-01-01
6.956996,0.705262,6.368177,0.689635,2024-02-01
7.262059,0.777358,6.329265,0.755615,2024-03-01
6.935891,0.757341,5.831803,0.745099,2024-04-01
7.206467,0.769087,6.065292,0.767418,2024-05-01
7.113333,0.765316,6.174972,0.750327,2024-06-01
7.352895,0.752305,6.740925,0.741477,2024-07-01
7.442639,0.757762,6.736376,0.736992,2024-08-01
7.134842,0.702635,6.06204,0.685999,2024-09-01
7.426197,0.738724,6.230653,0.72525,2024-10-01
7.128643,0.734803,6.260067,0.708251,2024-11-01
7.446184,0.745484,7.214343,0.715377,2024-12-01
7.344014,0.749463,8.060732,0.712739,2025-01-01
6.675326,0.691849,6.768933,0.666435,2025-02-01
7.627666,0.810548,6.395228,0.779815,2025-03-01
7.31913,0.780418,5.925776,0.762128,2025-04-01
7.59187,0.791141,5.998094,0.757706,2025-05-01
7.376591,0.788355,6.291508,0.750687,2025-06-01
